id,observed_on,time_observed_at,user_id,latitude,longitude,scientific_name
22101307,4/6/19,2019-04-06 17:26:30 UTC,1573615,34.41040499,-119.8511631,Lysimachia arvensis
22101308,4/6/19,2019-04-06 17:42:48 UTC,1316650,34.40809511,-119.8495581,Solanum
22101321,4/6/19,2019-04-06 17:48:22 UTC,1521145,34.40938073,-119.8454289,Hemerocallis lilioasphodelus
22101334,4/6/19,2019-04-06 17:45:37 UTC,1316650,34.40826849,-119.8489669,Eschscholzia californica
22101336,4/6/19,2019-04-06 17:24:33 UTC,43205,34.41363065,-119.8464539,Pittosporum tobira
22101339,4/6/19,2019-04-06 17:54:37 UTC,1521145,34.41072996,-119.8454895,Cercis
22101350,4/6/19,2019-04-06 17:24:48 UTC,1573615,34.41054774,-119.8513648,Sambucus cerulea
22101362,4/6/19,2019-04-06 17:25:57 UTC,43205,34.41343422,-119.8463382,Oxalis pes-caprae
22101368,4/6/19,2019-04-06 17:56:48 UTC,1521145,34.41098372,-119.8454538,Melaleuca
22101382,4/6/19,2019-04-06 17:27:24 UTC,43205,34.41350697,-119.8461757,Rhaphiolepis indica
22101406,4/6/19,2019-04-06 18:01:29 UTC,1521145,34.41167498,-119.8461781,Rhaphiolepis indica
22101416,4/6/19,2019-04-06 17:22:07 UTC,1573615,34.41107565,-119.851813,Encelia californica
22101434,4/6/19,2019-04-06 17:30:05 UTC,43205,34.41295695,-119.8449421,Cercis
22101494,4/6/19,2019-04-06 17:31:28 UTC,43205,34.41282116,-119.8447971,Leptospermum
22101512,4/6/19,2019-04-06 17:20:25 UTC,1573615,34.41274112,-119.851093,Encelia californica
22102054,4/6/19,2019-04-06 18:23:21 UTC,1521145,34.41234528,-119.8477489,Echium candicans
22102299,4/6/19,2019-04-06 17:13:31 UTC,98743,34.41272268,-119.8477567,Echium candicans
22102334,4/6/19,2019-04-06 17:15:23 UTC,98743,34.41309831,-119.8477541,Schinus terebinthifolia
22102353,4/6/19,2019-04-06 17:15:58 UTC,98743,34.4131719,-119.8474999,Salvia rosmarinus
22102369,4/6/19,2019-04-06 17:16:57 UTC,98743,34.41316004,-119.8473703,Aloe
22102389,4/6/19,2019-04-06 17:18:27 UTC,98743,34.41318607,-119.8468329,Vinca major
22102398,4/6/19,2019-04-06 17:19:53 UTC,98743,34.41308829,-119.8465509,
22102410,4/6/19,2019-04-06 17:20:48 UTC,98743,34.41313641,-119.8462229,Erythrina
22102429,4/6/19,2019-04-06 17:21:45 UTC,98743,34.41311512,-119.84619,
22102442,4/6/19,2019-04-06 17:23:41 UTC,98743,34.41306415,-119.8459253,Hemerocallis lilioasphodelus
22102456,4/6/19,2019-04-06 17:24:20 UTC,98743,34.4129435,-119.845916,
22102484,4/6/19,2019-04-06 17:25:05 UTC,98743,34.41292393,-119.8458202,
22102495,4/6/19,2019-04-06 17:27:13 UTC,98743,34.41311952,-119.8459835,Taraxacum officinale
22102517,4/6/19,2019-04-06 17:29:42 UTC,98743,34.41280033,-119.8449031,Cercis occidentalis
22102544,4/6/19,2019-04-06 17:30:29 UTC,98743,34.41279899,-119.8445111,
22102584,4/6/19,2019-04-06 17:32:00 UTC,98743,34.41278868,-119.8441648,Geraniaceae
22102600,4/6/19,2019-04-06 17:35:16 UTC,98743,34.41283474,-119.8442199,Rhaphiolepis indica
22102617,4/6/19,2019-04-06 17:37:23 UTC,98743,34.41268056,-119.8441442,Iris
22102637,4/6/19,2019-04-06 17:38:02 UTC,98743,34.41269988,-119.8439491,Geraniaceae
22102649,4/6/19,2019-04-06 17:38:27 UTC,98743,34.41270629,-119.8439221,Geranium
22102655,4/6/19,2019-04-06 17:38:47 UTC,98743,34.41283219,-119.8439149,
22102663,4/6/19,2019-04-06 17:39:17 UTC,98743,34.4128733,-119.8439348,Geraniaceae
22102676,4/6/19,2019-04-06 17:40:44 UTC,98743,34.41282871,-119.8440282,
22102690,4/6/19,2019-04-06 17:41:22 UTC,98743,34.41292803,-119.8439913,Rhaphiolepis indica
22102699,4/6/19,2019-04-06 17:41:57 UTC,98743,34.41293704,-119.8438659,
22102722,4/6/19,2019-04-06 17:42:45 UTC,98743,34.41301768,-119.8437427,Banksia integrifolia
